,Filename,fn1,f0,fs,iferror,ifmethod,rho,p,r,g,arfunc,automodel,dq,pq,nramp,causality,f0.1,ifquality,ifwinsize,OQ1,OQ2,NAQ,AQ,ClQ,OQa,QOQ,SQ1,SQ2,DH12,PSP,HRF,Unnamed: 31
0,0.mat,0,181.12298939980218,16000,30.36532222726737,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,181.12298939980218,,10.7199375,,,,,,,,,,10.087380923445203,,-5.271275784542679,
1,1.mat,1,182.83969198042283,16000,14.244629474584324,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,182.83969198042283,,7.565,,,,,,,,,,10.30100570063118,,-1.610909002802645,
2,10.mat,10,191.35907791292408,16000,1.022828822605865,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,191.35907791292408,,2.7849375,0.55482660730203,0.5043879437389149,0.07633451036293401,0.0012152563860799998,0.229893731182067,0.23046252877315,0.33178120593447397,1.4261022902715739,1.202736871313388,-14.211759668244795,0.17503079350864303,1.526697385573901,
3,100.mat,100,193.22651478553996,16000,3.0301415690060733,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,193.22651478553996,,3.2849375,0.558081289078724,0.508464603920474,0.088068936953055,0.0013958141194929997,0.24550375091756302,0.26361780787222,0.31270664430664197,1.2825095571166298,1.078755344726944,9.871474014113632,0.18919929387808498,-0.323805058512041,
4,11.mat,11,188.28606400077012,16000,1.026929353948293,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,188.28606400077012,,3.0499375,0.559959333398166,0.510032909779715,0.094778039846333,0.0015024254986920002,0.256455748628383,0.257477954453192,0.326516068800421,1.190486126769569,0.9999612358923051,9.80176449979574,0.180544929495603,1.4252678453307968,
5,12.mat,12,97.83596027087044,16000,1.237524658790492,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,97.83596027087044,,3.1799375,0.5699168730045789,0.5199927236155539,0.12029602037508301,0.0018679009409189999,0.255441244729489,0.305825370099148,0.332525525430512,1.250047554739553,1.049655404313234,3.3884070157037414,0.135447886913737,-0.075231182693688,
6,13.mat,13,186.02606840338123,16000,0.9854916315077059,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,186.02606840338123,,3.2499375,0.540320705944594,0.49000253471084704,0.096768903822765,0.0015850409324400002,0.245341001835213,0.259625743543404,0.317155180154743,1.212715365677388,1.009469833122562,9.543224188001982,0.174806945183161,0.23192655502232898,
7,14.mat,14,185.4613145431012,16000,33.009580025619705,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,185.4613145431012,,6.4949375,,,,,,,,,,16.087056770088424,,-3.4753809365725825,
8,15.mat,15,180.02107727359868,16000,2.8762837687050915,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,180.02107727359868,,3.2649375,0.544614222123338,0.495686539889453,0.11332072392997398,0.001881819943012,0.238217419258767,0.320045001853737,0.31655155722696504,1.345927290144241,1.1035163186653898,-1.4193588353640012,0.16523304382831303,1.7167703242135182,
9,16.mat,16,185.66462036863075,16000,0.9250018960194839,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,185.66462036863075,,3.7699375,0.5617120909162379,0.5108654386310411,0.084874219170483,0.001337786957644,0.23146999349529002,0.244457096537766,0.32574558859596003,1.4412086780802031,1.1772678974510342,6.24651296268533,0.192581187353341,0.573661368619771,
10,17.mat,17,190.94947926384998,16000,0.904577327739394,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,190.94947926384998,,3.2949375,,,,,,,,,,21.778529287247768,,-8.407734003484947,
11,18.mat,18,193.37221429855583,16000,2.995944374490901,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,193.37221429855583,,3.5749375,0.5558892957852779,0.506196082575157,0.09189063891831098,0.001464490440153,0.23171705123901398,0.25765412838979,0.30704249029751696,1.373302122824529,1.140929131558238,16.438891916614025,0.181205230444709,4.804594706506324,
12,19.mat,19,193.99473228353298,16000,1.017397898738913,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,193.99473228353298,,3.1199375,0.5709481555083,0.520605405786957,0.103361431340547,0.00161595780072,0.24045357439659398,0.287476954447559,0.328753605088845,1.4127202809823358,1.1970407682392,4.877508459489071,0.13646639384691303,1.467211516849103,
