,AQ_kurt,AQ_max,AQ_mean,AQ_median,AQ_min,AQ_skew,AQ_std,ClQ_kurt,ClQ_max,ClQ_mean,ClQ_median,ClQ_min,ClQ_skew,ClQ_std,DH12,HRF,NAQ_kurt,NAQ_max,NAQ_mean,NAQ_median,NAQ_min,NAQ_skew,NAQ_std,OQ1_kurt,OQ1_max,OQ1_mean,OQ1_median,OQ1_min,OQ1_skew,OQ1_std,OQ2_kurt,OQ2_max,OQ2_mean,OQ2_median,OQ2_min,OQ2_skew,OQ2_std,OQa_kurt,OQa_max,OQa_mean,OQa_median,OQa_min,OQa_skew,OQa_std,PSP,QOQ_kurt,QOQ_max,QOQ_mean,QOQ_median,QOQ_min,QOQ_skew,QOQ_std,SQ1_kurt,SQ1_max,SQ1_mean,SQ1_median,SQ1_min,SQ1_skew,SQ1_std,SQ2_kurt,SQ2_max,SQ2_mean,SQ2_median,SQ2_min,SQ2_skew,SQ2_std,,label
0,-1.125019211,0.001362283,0.000733814,0.000577718,2.52E-05,0.399345387,0.000339495,-1.513941763,0.63511523,0.328861461,0.297148565,0.069832791,0.153676992,0.133674158,13.09009198,-9.437462073,-1.194865865,0.334107397,0.183920527,0.147544996,0.006974662,0.371210951,0.083493329,-1.628260922,1.007626856,0.799471303,0.80661348,0.338564658,-0.123694044,0.183123195,-1.213925664,0.961222844,0.667238843,0.619626167,0.139021605,-0.020985234,0.212254527,-0.579028823,1.01874124,0.55387744,0.513056353,0.016817189,0.07092145,0.211717617,0.289623739,1.762829531,0.840521718,0.379829179,0.35158213,0.070853171,0.232551133,0.098482147,-0.870918305,3.848218898,1.670340433,1.417801862,0.18805693,0.382298658,0.675401744,0.308816498,2.674824406,1.157274828,1.006274856,0.075222772,0.952796797,0.536728105,,1
1,,0.000273182,0.000273182,0.000273182,0.000273182,,,,0.212901145,0.212901145,0.212901145,0.212901145,,,9.295874438,-5.129898756,,0.060566999,0.060566999,0.060566999,0.060566999,,,,0.781032044,0.781032044,0.781032044,0.781032044,,,,0.684034086,0.684034086,0.684034086,0.684034086,,,,0.153520387,0.153520387,0.153520387,0.153520387,,,1.51998959,,0.516085599,0.516085599,0.516085599,0.516085599,,,,2.668519694,2.668519694,2.668519694,2.668519694,,,,2.212918771,2.212918771,2.212918771,2.212918771,,,,1
2,,,,,,,,,,,,,,,12.94924535,-10.94295736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.003143994,,,,,,,,,,,,,,,,,,,,,,,1
3,-1.030346605,0.001417107,0.000791115,0.000884871,6.88E-05,-0.182927636,0.000360416,-0.023530171,0.869752527,0.415689527,0.486142824,0.041071588,-0.56072498,0.158265195,8.986129353,-7.568250541,-1.062084247,0.364860837,0.206338243,0.22805974,0.017701019,-0.200222235,0.093779482,1.655512419,1.007971066,0.823856548,0.937106653,0.088758198,-1.353902661,0.204168539,-0.081586759,0.959425752,0.699997771,0.760646619,0.041071588,-0.742572077,0.217512924,-0.761564674,0.927137645,0.525658961,0.558483249,0.046709523,-0.459695465,0.217786099,0.303842675,0.547973329,0.786364288,0.386331899,0.386444909,0.046508225,0.039178935,0.137472699,26.05668531,9.622469417,1.2756692,0.979206335,0.156945997,4.637561339,1.185508138,35.37368637,8.356876709,0.872556438,0.715124108,0,5.312220924,0.945553336,,1
4,-0.485704438,0.000403013,0.000214885,0.000236977,4.55E-05,0.101186774,9.55E-05,-0.931441417,0.839396841,0.345204142,0.282065951,0.080458489,0.621463546,0.253519572,20.43584061,-11.80114214,-0.485704438,0.098567535,0.05255579,0.057959024,0.01113848,0.101186774,0.02335625,-1.559335093,0.976879084,0.578274188,0.639561125,0.171230339,-0.088319367,0.296485594,-1.349045306,0.931112947,0.455424374,0.430354794,0.126316542,0.190128566,0.265339667,1.877900497,0.312237838,0.133376337,0.122840153,0.016857081,0.982231332,0.066547177,0.91776838,9.545154866,0.932964799,0.196821691,0.108010079,0.061076995,2.881613065,0.204848405,13.81683643,9.985382502,1.347571608,0.869856954,0.158980833,3.590283815,2.236481821,18.28659186,6.931798974,0.688371268,0.341031097,0.084272044,4.24243446,1.524224798,,1
5,,,,,,,,,,,,,,,22.83737178,-12.62260384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.107383972,,,,,,,,,,,,,,,,,,,,,,,1
6,,,,,,,,,,,,,,,19.46437937,-12.18771011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63833463,,,,,,,,,,,,,,,,,,,,,,,1
7,-0.563176781,0.00121906,0.000808192,0.000801624,0.000316522,-0.042458569,0.000235118,-0.161238067,0.601461846,0.379901679,0.367603689,0.071799577,-0.137201286,0.135451059,5.992814976,-2.364472564,-0.563176781,0.336091278,0.222816291,0.221005336,0.087264125,-0.042458569,0.064821309,3.308444672,1.001459204,0.791481137,0.768982751,0.215754846,-1.295964325,0.186256533,1.639537646,0.949766001,0.693343006,0.677936584,0.157954916,-0.705234283,0.19256816,1.505129264,0.780516917,0.542425014,0.543486455,0.14721837,-0.861695158,0.144798741,0.380377622,0.314958218,0.654745087,0.378653447,0.348722589,0.114957932,0.43717523,0.130606021,5.382906443,3.323706611,1.240543237,1.308997135,0.658918867,1.988734024,0.623962468,0.259710943,1.810240344,0.913211324,0.740194283,0.392689833,0.892288807,0.393416723,,1
8,1.010666784,0.001412658,0.001015428,0.001156648,8.81E-07,-1.45543187,0.000348275,4.848459412,0.8507451,0.511675777,0.51747542,0.061015675,-1.813525661,0.121196861,17.56440338,-9.561374347,0.883121881,0.374769071,0.268308465,0.306405837,0.000233607,-1.421793147,0.092895204,16.50306928,1.008248004,0.946645444,0.993566869,0.178229303,-3.991014664,0.141715062,5.601887453,0.958203095,0.791776555,0.843459955,0.11068601,-2.072993695,0.163380835,1.485211321,0.872195813,0.616409302,0.68127918,0.000532163,-1.606411762,0.200742609,0.454156429,4.174057639,0.62779291,0.425591447,0.446594095,0.049205772,-1.898747707,0.109547796,70.09170521,8.655718582,0.977671278,0.91964012,0.07746313,7.43350623,0.757575205,93.38111771,7.17791297,0.620172584,0.503547235,1.30E-14,8.741051645,0.600780292,,1
9,,0.001368695,0.000873579,0.001096143,0.000155899,-1.381441406,0.000636294,,0.713765898,0.49339119,0.579700107,0.186707565,-1.27711102,0.273924339,17.04387795,-8.843409909,,0.169737019,0.108335801,0.135936804,0.019333579,-1.381441406,0.07890919,,0.99824643,0.865111353,0.93941898,0.65766865,-1.530795475,0.182042642,,0.814527049,0.6019032,0.726966406,0.264216143,-1.562769189,0.29570446,,0.466458506,0.271132904,0.299582757,0.047357451,-0.595735959,0.210994003,1.915227882,,0.768928491,0.426015715,0.449909436,0.059209216,-0.301117398,0.355462438,,2.522453143,1.18686748,0.722004909,0.316144387,1.502214265,1.174317882,,0.415133571,0.270113561,0.254038764,0.141168347,0.518204482,0.137688182,,1
